"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"MO. ATEEK ","34","M","OBC","89","D","P","16","NULL","NULL","M ","P","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"PRABHU DAYAL GAUR","29","M","OBC","2","Y","P","2","142","Y","U","P","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"Shekh MunNIL","51","M","UR","5","Y","P","12","652","Y","M ","L","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SeeP.G..","42","F","SC","1","Y","P","1","222","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ANJANIL NILYAK","34","F","UR","5","W","P","8","NULL","NULL","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Prabhu Patel","40","M","ST","89","Y","P","6","29","Y","M ","I.L.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"SandeeP Suresh Bhawsar","30","M","OBC","89","Y","P","1","43","Y","M ","S	","NIL","","","","","","","","","","","","","","","","","","","","",""
"Rajrajeshwar soni","42","M","UR","5","W","P","10","NULL","NULL","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"ANIL","28","M","ST","5","W","P","18","NULL","NULL","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"Dr. Laxmi Thakur","51","F","OBC","2","Y","P","6","1391","Y","M ","G","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"Abdul Rahim ","50","M","OBC","5","Y","P","13","108","Y","M ","L","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"PaPPu urf Rakesh Dixit","43","M","UR","89","Y","P","13","37","Y","M ","P.G.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Shri Sabir Hussain P.G..sudi","42","M","OBC","5","Y","P","20","1021","Y","M ","L","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SadhaNIL Bhargav","35","F","UR","2","W","P","18","NULL","NULL","M ","G.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ASHWANI KUP.G..R DWIVEDI ","46","M","UR","89","Y","P","3","121","Y","M ","H.S.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"RAMPRASAD SAHU ","39","M","OBC","5","Y","P","15","72","Y","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Sonu Gi Sen","28","F","OBC","5","Y","P","13","345","Y","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAM MOHAN","41","M","OBC","89","Y","P","42","43","Y","M ","G.","JOURNLISM","","","","","","","","","","","","","","","","","","","","",""
"ShaP.G..Gi","36","F","SC","89","Y","P","12","9","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"ARJU","22","F","UR","89","W","P","5","NULL","NULL","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"NILRENDRA","32","M","OBC","5","Y","P","7","633","Y","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"JITENDRA SINGH","34","M","UR","5","Y","P","10","448","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"gyansingh mewada","35","M","OBC","2","Y","P","2","276","Y","M ","S","FARMER","","","","","","","","","","","","","","","","","","","","",""
"KAVITA","30","F","SC","89","Y","P","2","343","Y","M ","I.L","NIL","","","","","","","","","","","","","","","","","","","","",""
"MuGrik ","39","M","OBC","5","Y","P","30","1707","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Siya Gi","44","F","ST","89","Y","P","6","81","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Shakun Dehariya","32","F","SC","5","W","P","7","NULL","NULL","M ","NIL ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PUNJAB SINGH ","57","M","UR","89","Y","A","NULL","101","Y","M ","S","FARMER","","","","","","","","","","","","","","","","","","","","",""
"SURENDRA SINGH KUSHWAH","38","M","OBC","5","Y","P","2","179","Y","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Sanjay","33","M","SC","2","W","P","10","NULL","NULL","M ","H.S.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"Shri Rakesh","34","M","SC","5","W","P","15","NULL","NULL","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"P.G..NEESH KUP.G..R","43","M","UR","5","W","P","9","NULL","NULL","M ","H.S.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"PRIYANKA ","27","F","OBC","5","Y","P","22","265","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"AARIFA BEE","33","F","UR","5","Y","P","5","258","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"uP.G..tiwari","39","F","UR","89","Y","P","30","96","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHABINIL BE","39","F","UR","2","Y","P","8","683","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SUNITA ","41","F","UR","89","Y","A","NULL","3058","Y","M ","H.S. ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..HENDRA P.G..HOBIYA","38","M","OBC","5","Y","P","6","297","Y","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..HMOOD KHAN","58","M","OBC","5","Y","P","19","691","Y","M ","G ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"Ramesh","46","M","OBC","89","Y","P","4","97","Y","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Prakash Kori","31","M","SC","89","W","A","NULL","NULL","NULL","M ","L","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"sahar","37","F","UR","5","Y","P","29","828","Y","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RAJKUP.G..RI","66","F","UR","5","Y","P","17","58","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DEVENDRA BUCHKE ","50","M","UR","2","R","P","27","NULL","NULL","M ","L.L.B","ADVOCATE","","","","","","","","","","","","","","","","","","","","",""
